Substation,Period,File,mean,min,max,std
Panchagarh,Day,File 1 (xyz),-88.25,-104.7,-65.5,15.333415678303265
Panchagarh,Day,File 2 (xyzmax),25.150000000000002,6.9,41.5,9.530286650272572
Panchagarh,Night,File 1 (xyz),-92.59999999999998,-108.8,-70.0,15.269160839000701
Panchagarh,Night,File 2 (xyzmax),26.025000000000006,7.6,42.6,9.683080370137668
Purbasadipur,Day,File 1 (xyz),-124.27500000000002,-144.5,-109.7,9.960022362150871
Purbasadipur,Day,File 2 (xyzmax),-10.158333333333333,-37.5,1.8,12.993317046804787
Purbasadipur,Night,File 1 (xyz),-128.75833333333335,-149.1,-114.4,9.925033394341193
Purbasadipur,Night,File 2 (xyzmax),-14.291666666666664,-41.7,2.3,14.046899258835694
Thakurgaon,Day,File 1 (xyz),-105.55,-121.6,-83.1,15.58551192031182
Thakurgaon,Day,File 2 (xyzmax),15.554545454545456,-1.8,33.9,11.63111031985886
Thakurgaon,Night,File 1 (xyz),-110.05,-126.8,-87.5,15.716725312400627
Thakurgaon,Night,File 2 (xyzmax),16.933333333333334,-5.4,35.2,12.365592536869343
