Date,Substation,Load (MW),Load_Time,Max_Voltage (kV),Max_Voltage_Time,Min_Voltage (kV),Min_Voltage_Time,Year,Month,Day,DayOfYear,DayOfWeek,Is_Irrigation,Is_Weekend
2018-01-15,Panchagarh,31.0,19:00,124.0,04:00,107.0,19:00,2018,1,15,15,0,0,0
2018-01-16,Panchagarh,31.0,19:30,123.0,05:00,104.0,18:30,2018,1,16,16,1,0,0
2018-01-17,Panchagarh,30.0,19:30,123.0,04:00,107.0,18:30,2018,1,17,17,2,0,0
2018-01-18,Panchagarh,28.0,18:00,122.0,03:00,105.0,19:30,2018,1,18,18,3,0,0
2018-01-19,Panchagarh,31.0,20:00,122.0,03:00,104.0,18:30,2018,1,19,19,4,0,1
2018-01-20,Panchagarh,31.0,20:00,124.0,16:00,100.0,18:00,2018,1,20,20,5,0,1
2018-01-21,Panchagarh,33.0,19:00,121.0,04:00,99.0,18:30,2018,1,21,21,6,0,0
2018-01-22,Panchagarh,30.0,20:00,120.0,03:00,100.0,19:30,2018,1,22,22,0,0,0
2018-01-23,Panchagarh,29.0,19:00,122.0,04:00,107.0,20:00,2018,1,23,23,1,0,0
2018-01-24,Panchagarh,31.0,19:00,123.0,16:00,119.0,30:00,2018,1,24,24,2,0,0
2018-01-25,Panchagarh,31.0,19:00,120.0,04:00,104.0,20:00,2018,1,25,25,3,0,0
2018-01-26,Panchagarh,33.0,19:00,123.0,04:00,103.0,19:00,2018,1,26,26,4,0,1
2018-01-27,Panchagarh,31.0,18:30,122.0,03:00,103.0,18:30,2018,1,27,27,5,0,1
2018-01-28,Panchagarh,32.0,18:00,121.0,14:00,101.0,19:00,2018,1,28,28,6,0,0
2018-01-29,Panchagarh,31.0,19:00,122.0,03:00,100.0,18:30,2018,1,29,29,0,0,0
2018-01-30,Panchagarh,31.0,19:00,119.0,04:00,101.0,18:30,2018,1,30,30,1,0,0
2018-01-31,Panchagarh,34.0,19:30,120.0,05:00,99.0,19:00,2018,1,31,31,2,0,0
2018-02-01,Panchagarh,33.0,19:00,118.0,03:00,108.0,18:30,2018,2,1,32,3,1,0
2018-02-02,Panchagarh,32.0,19:30,121.0,04:00,104.0,18:30,2018,2,2,33,4,1,1
2018-02-03,Panchagarh,32.0,18:30,122.0,04:00,102.0,18:30,2018,2,3,34,5,1,1
2018-02-05,Panchagarh,30.0,19:00,120.0,04:00,98.0,18:30,2018,2,5,36,0,1,0
2018-02-06,Panchagarh,32.0,20:00,116.0,05:00,100.0,20:00,2018,2,6,37,1,1,0
2018-02-07,Panchagarh,32.0,18:00,115.0,04:00,98.0,18:30,2018,2,7,38,2,1,0
2018-02-08,Panchagarh,32.0,19:30,117.0,04:00,96.0,18:30,2018,2,8,39,3,1,0
2018-02-09,Panchagarh,30.0,20:00,117.0,03:00,96.0,12:00,2018,2,9,40,4,1,1
2018-02-10,Panchagarh,32.0,19:00,117.0,03:00,98.0,18:30,2018,2,10,41,5,1,1
2018-02-11,Panchagarh,32.0,20:00,116.0,04:00,97.0,18:30,2018,2,11,42,6,1,0
2018-02-14,Panchagarh,34.0,19:00,118.0,04:00,96.0,18:30,2018,2,14,45,2,1,0
2018-02-15,Panchagarh,37.0,18:30,119.0,05:00,101.0,09:00,2018,2,15,46,3,1,0
2018-02-16,Panchagarh,35.0,19:30,120.0,03:00,100.0,08:00,2018,2,16,47,4,1,1
2018-02-17,Panchagarh,35.0,18:30,116.0,05:00,101.0,11:00,2018,2,17,48,5,1,1
2018-02-18,Panchagarh,31.0,18:00,115.0,05:00,92.0,18:30,2018,2,18,49,6,1,0
2018-02-19,Panchagarh,34.0,19:00,116.0,05:00,100.0,18:30,2018,2,19,50,0,1,0
2018-02-20,Panchagarh,39.0,18:30,120.0,15:00,100.0,07:00,2018,2,20,51,1,1,0
2018-02-21,Panchagarh,39.0,20:00,123.0,06:00,105.0,19:00,2018,2,21,52,2,1,0
2018-02-22,Panchagarh,36.0,19:00,120.0,14:00,107.0,18:30,2018,2,22,53,3,1,0
2018-02-23,Panchagarh,36.0,18:30,121.0,03:00,103.0,11:00,2018,2,23,54,4,1,1
2018-02-24,Panchagarh,36.0,19:00,127.0,05:00,113.0,09:00,2018,2,24,55,5,1,1
2018-02-25,Panchagarh,38.0,18:30,122.0,05:00,108.0,07:00,2018,2,25,56,6,1,0
2018-02-27,Panchagarh,36.0,20:00,129.0,04:00,112.0,19:00,2018,2,27,58,1,1,0
2018-02-28,Panchagarh,38.0,19:00,126.0,04:00,108.0,08:00,2018,2,28,59,2,1,0
2018-03-01,Panchagarh,37.0,19:00,125.0,04:00,108.0,12:00,2018,3,1,60,3,1,0
2018-03-02,Panchagarh,36.0,19:30,125.0,06:00,105.0,08:00,2018,3,2,61,4,1,1
2018-03-03,Panchagarh,37.0,19:00,126.0,06:00,111.0,09:00,2018,3,3,62,5,1,1
2018-03-04,Panchagarh,36.0,19:00,124.0,01:00,110.0,19:00,2018,3,4,63,6,1,0
2018-03-05,Panchagarh,36.0,19:30,126.0,04:00,108.0,10:00,2018,3,5,64,0,1,0
2018-03-06,Panchagarh,31.0,18:30,124.0,03:00,111.0,07:00,2018,3,6,65,1,1,0
2018-03-07,Panchagarh,34.0,20:00,136.0,15:00,111.0,19:30,2018,3,7,66,2,1,0
2018-03-08,Panchagarh,38.0,19:30,123.0,03:00,106.0,08:00,2018,3,8,67,3,1,0
2018-03-09,Panchagarh,38.0,19:00,124.0,03:00,106.0,08:00,2018,3,9,68,4,1,1
2018-03-10,Panchagarh,38.0,19:00,124.0,02:00,110.0,08:00,2018,3,10,69,5,1,1
2018-03-11,Panchagarh,37.0,18:30,125.0,04:00,106.0,08:00,2018,3,11,70,6,1,0
2018-03-12,Panchagarh,33.0,20:00,122.0,01:00,105.0,20:00,2018,3,12,71,0,1,0
2018-03-13,Panchagarh,30.0,09:00,125.0,19:30,107.0,07:00,2018,3,13,72,1,1,0
2018-03-14,Panchagarh,37.0,20:00,135.0,02:00,112.0,00:00,2018,3,14,73,2,1,0
2018-03-15,Panchagarh,39.0,19:00,124.0,02:00,105.0,12:00,2018,3,15,74,3,1,0
2018-03-16,Panchagarh,36.0,19:30,125.0,05:00,113.0,08:00,2018,3,16,75,4,1,1
2018-03-17,Panchagarh,36.0,20:00,124.0,04:00,104.0,08:00,2018,3,17,76,5,1,1
2018-03-18,Panchagarh,38.0,18:30,124.0,15:00,105.0,08:00,2018,3,18,77,6,1,0
2018-03-19,Panchagarh,37.0,20:00,125.0,03:00,108.0,08:00,2018,3,19,78,0,1,0
2018-03-20,Panchagarh,38.0,19:00,124.0,02:00,112.0,18:30,2018,3,20,79,1,1,0
2018-03-21,Panchagarh,38.0,20:00,123.0,04:00,110.0,08:00,2018,3,21,80,2,1,0
2018-03-22,Panchagarh,38.0,20:00,123.0,04:00,103.0,12:00,2018,3,22,81,3,1,0
2018-03-23,Panchagarh,34.0,19:30,125.0,04:00,105.0,08:00,2018,3,23,82,4,1,1
2018-03-24,Panchagarh,38.0,19:00,125.0,03:00,106.0,20:00,2018,3,24,83,5,1,1
2018-03-25,Panchagarh,34.0,18:30,125.0,04:00,109.0,14:00,2018,3,25,84,6,1,0
2018-03-26,Panchagarh,33.0,18:30,122.0,04:00,111.0,08:00,2018,3,26,85,0,1,0
2018-03-27,Panchagarh,37.0,19:30,122.0,04:00,103.0,19:30,2018,3,27,86,1,1,0
2018-03-28,Panchagarh,39.0,19:00,124.0,03:00,112.0,19:00,2018,3,28,87,2,1,0
2018-03-29,Panchagarh,38.0,21:00,125.0,04:00,110.0,11:00,2018,3,29,88,3,1,0
